#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-15T13:47:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee0d9a0ceb	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=gliese&HTTPPRM:&&-ref=VIZ53ee0d9a0ceb&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000|_DEJ2000|Name|RAB1950|DEB1950|Sp|Vmag|B-V|trplx|plx|_RA.icrs|_DE.icrs
006.7775|+49.6979|NN 3035 |00 24 22|+49 25.5|m           | 14.25|     |  47.1|  47.1|00 27 06.6|+49 41 52
007.1655| -6.6648|GJ 1012 |00 26 08|-06 55.8|M4          | 12.19| 1.48|  74.8|  74.8|00 28 39.7|-06 39 53
007.2275|+50.3763|NN 3036 |00 26 09|+50 05.9|m           | 13.15|     |      |  76.0|00 28 54.6|+50 22 35
007.8996| -5.8703|GJ 1013 |00 29 02|-06 07.9|m           | 12.75| 1.64|  61.6|  61.6|00 31 35.9|-05 52 13
008.1245|+67.2357|Gl 22   |00 29 20|+66 57.8|dM2.5e      | 10.38| 1.54| 100.6| 100.6|00 32 29.9|+67 14 09
008.1245|+67.2357|Gl 22   |00 29 20|+66 57.8|dM3.5       | 12.40|     | 100.6| 100.6|00 32 29.9|+67 14 09
008.0392| -2.9004|NN 3037 |00 29 34|-03 10.7|g-k         | 17.34|     |  43.1|  43.1|00 32 09.4|-02 54 01
008.0651|-63.0906|NN 3038 |00 29 56|-63 21.9|K7          |  9.61| 1.35|  34.3|  34.3|00 32 15.6|-63 05 26
008.1480| +7.4915|NN 3039 |00 30 00|+07 13.0|m           | 12.70|     |      |  86.0|00 32 35.5|+07 29 29
008.1844|-63.0313|Wo 9015 |00 30 28|-63 18.4|A0 V        |  5.75| 0.04|  47.8|  47.8|00 32 44.2|-63 01 53
008.1844|-63.0313|Wo 9015 |00 30 28|-63 18.4|A           |  6.00|     |  47.8|  47.8|00 32 44.2|-63 01 53
008.6544|+71.1962|NN 3040 |00 31 30|+70 55.5|k-m         | 13.52| 1.65|  50.5|  50.5|00 34 37.1|+71 11 46
008.6224|+47.9163|Wo 9016 |00 31 43|+47 38.4|F8          |  7.37| 0.54|  43.6|  20.0|00 34 29.4|+47 54 59
008.6143|-52.3740|Gl 22.2 |00 32 05|-52 39.0|F3 IV-V     |  5.57| 0.46|  49.0|  49.0|00 34 27.4|-52 22 26
008.8104| -3.5933|Gl 23   |00 32 40|-03 52.1|F6 V        |  5.65| 0.57|  61.4|  61.4|00 35 14.5|-03 35 36
008.8104| -3.5933|Gl 23   |00 32 40|-03 52.1|G1 V        |  6.40|     |  61.4|  61.4|00 35 14.5|-03 35 36
008.9807|+10.4761|GJ 1014 |00 33 16|+10 12.4|            | 15.32| 1.89|  64.0|  64.0|00 35 55.4|+10 28 34
008.9203|-48.0011|NN 3041 |00 33 18|-48 16.5|F6 V        |  5.51| 0.44|      |  40.0|00 35 40.9|-48 00 04
009.0365|+45.5148|NN 3042 |00 33 26|+45 14.5|M2          | 11.71| 1.54|      |  58.0|00 36 08.8|+45 30 53
009.1013| +8.8745|NN 3043 |00 33 49|+08 36.0|G5          |  7.87|     |      |  46.0|00 36 24.3|+08 52 28
009.1575|-49.1317|Gl 24   |00 34 14|-49 24.3|G3 V        |  6.79| 0.64|  37.6|  33.0|00 36 37.8|-49 07 54
009.0166|-49.1284|Gl 24   |00 33 40|-49 24.1|K0 V        |  8.37| 0.78|  77.4|  33.0|00 36 04.0|-49 07 42
009.3376|-24.7668|Gl 25   |00 34 47|-25 02.5|G7 V        |  6.23| 0.72|  72.1|  72.1|00 37 21.0|-24 46 01
009.3376|-24.7668|Gl 25   |00 34 47|-25 02.5|G8 V        |  6.40|     |  72.1|  72.1|00 37 21.0|-24 46 01
009.3537|-20.8963|GJ 2010 |00 34 56|-21 10.1|DA7         | 14.53| 0.45|      |  62.0|00 37 24.9|-20 53 47
009.5636|+52.3313|NN 3044 |00 35 28|+52 03.6|M0          | 10.48| 1.42|      |  44.0|00 38 15.3|+52 19 53
009.6409|+51.4651|NN 3045 |00 35 48|+51 11.4|m           | 12.60|     |      |  49.0|00 38 33.8|+51 27 54
009.7468|+30.6169|Gl 26   |00 36 13|+30 20.5|dM4         | 11.06| 1.53|  79.5|  79.5|00 38 59.2|+30 37 01
009.8842|+60.5526|NN 3046 |00 36 40|+60 16.9|m           | 12.83|     |      |  39.0|00 39 32.2|+60 33 09
009.8391|+21.2510|Gl 27   |00 36 45|+20 58.9|K0+ V       |  5.85| 0.85|  95.1|  95.1|00 39 21.4|+21 15 04
009.9961|-44.2538|Gl 27.1 |00 37 34|-44 31.5|M0.5        | 11.40| 1.49|  31.1|  43.0|00 39 59.1|-44 15 14
010.1377|-23.8036|Gl 27.2 |00 38 02|-24 04.4|G3 V        |  6.15| 0.71|  40.1|  40.1|00 40 33.1|-23 48 13
010.2037|+40.1867|Gl 28   |00 38 04|+39 55.3|K2 Ve       |  7.36| 0.94|  58.5|  58.5|00 40 48.9|+40 11 12
010.1090|-59.4544|Gl 29   |00 38 06|-59 44.1|G1 V        |  5.90| 0.56|  56.7|  56.7|00 40 26.2|-59 27 16
010.2357|+31.3831|NN 3047 |00 38 16|+31 06.8|m           | 13.83|     |      |  53.0|00 40 56.6|+31 22 59
010.3355|+55.8330|GJ 1015 |00 38 28|+55 33.6|m           | 14.02| 1.55|  43.3|  43.3|00 41 20.5|+55 49 59
010.3397|+55.8347|GJ 1015 |00 38 29|+55 33.7|DQ5         | 14.08| 0.02|  43.3|  43.3|00 41 21.5|+55 50 05
010.3558|-22.3510|GJ 2012 |00 38 58|-22 37.2|DQ9         | 14.53| 0.62| 100.8| 100.8|00 41 25.4|-22 21 04
010.3727|-33.6276|GJ 1016 |00 39 05|-33 53.9|k           | 10.60| 1.40|      |  45.0|00 41 29.4|-33 37 39
010.5287|-52.3724|GJ 1017 |00 39 45|-52 38.5|m           | 12.25|     |  45.7|  45.7|00 42 06.9|-52 22 21
010.5715|-36.7167|GJ 1018 |00 39 53|-36 59.5|m           | 12.65| 1.54|      |  54.0|00 42 17.2|-36 43 00
010.7014|+35.5484|Gl 29.1 |00 40 05|+35 16.4|dM0  e      | 10.52| 1.50|  47.2|  47.2|00 42 48.3|+35 32 54
010.8881|+33.8453|Gl 30   |00 40 52|+33 34.6|dK5         |  8.73| 1.12|  54.7|  54.7|00 43 33.1|+33 50 43
010.8995|+28.4439|GJ 1019 |00 40 56|+28 11.1|m           | 14.52| 1.59|  51.9|  51.9|00 43 35.9|+28 26 38
010.9232|+23.8860|NN 3048 |00 41 02|+23 36.9|dM0         | 10.97| 1.34|  42.3|  42.3|00 43 41.6|+23 53 10
010.8982|-17.9858|Gl 31   |00 41 05|-18 15.6|K1 IIIe     |  2.04| 1.01|  54.5|  54.5|00 43 35.6|-17 59 09
010.8572|-41.2939|NN 3049 |00 41 05|-41 33.6|M4          | 13.10|     |      | 101.0|00 43 25.7|-41 17 38
011.2693|+75.9370|NN 3050 |00 41 36|+75 39.9|G8          |  7.19| 0.75|  23.2|  48.0|00 45 04.6|+75 56 13
011.0809|+12.6174|NN 3051 |00 41 42|+12 20.8|m           | 12.79| 1.49|      |  55.0|00 44 19.4|+12 37 02
011.0853| +9.1265|NN 3052 |00 41 42|+08 51.2|m           | 13.80|     |      |  81.0|00 44 20.5|+09 07 35
011.1109|-26.5160|Wo 9024 |00 41 58|-26 47.5|G5 V        |  7.79| 0.67|  39.8|  28.0|00 44 26.6|-26 30 58
011.1562|-18.9475|Gl 31.2 |00 42 07|-19 13.4|dM2         | 10.78| 1.44|  56.4|  41.0|00 44 37.5|-18 56 51
011.1479|-18.9525|Gl 31.2 |00 42 05|-19 13.7|m           | 16.30|     |  56.4|  41.0|00 44 35.5|-18 57 09
011.1851|-22.0054|Gl 31.3 |00 42 16|-22 16.8|F2 V        |  5.23| 0.34|  46.3|  46.3|00 44 44.4|-22 00 19
011.2515|-15.2731|NN 3053 |00 42 29|-15 32.3|m           | 14.20|     |      |  72.0|00 45 00.4|-15 16 23
011.2707| +1.7854|Gl 31.4 |00 42 31|+01 31.2|K2 V        |  8.01| 1.00|  43.2|  51.0|00 45 05.0|+01 47 07
011.1628|-65.6502|Gl 31.5 |00 42 32|-65 54.8|G3 V        |  6.54| 0.65|  50.4|  49.0|00 44 39.1|-65 39 01
011.3695|-12.8812|GJ 1020 |00 42 58|-13 09.1|G0 V        |  6.15| 0.61|      |  50.0|00 45 28.7|-12 52 52
011.3745|-51.6275|NN 3054 |00 43 12|-51 54.0|M3          | 11.91| 1.48|      |  43.0|00 45 29.9|-51 37 39
011.4520|-41.9096|Gl 32   |00 43 25|-42 10.9|K5 V        |  8.41| 1.17|  81.4|  81.4|00 45 48.5|-41 54 34
011.4508|-41.9100|Gl 32   |00 43 25|-42 10.9|K7 V        |  9.06| 1.27|  81.4|  81.4|00 45 48.2|-41 54 36
011.4395|-47.5523|GJ 1021 |00 43 25|-47 49.6|G5 IV       |  5.80| 0.64|  48.1|  48.1|00 45 45.5|-47 33 08
011.7292|-26.1344|NN 3055 |00 44 27|-26 24.6|M3 :        | 13.98| 1.64|      |  40.0|00 46 55.0|-26 08 04
011.7851|-23.5094|NN 3056 |00 44 40|-23 46.8|m           | 14.40|     |      |  54.0|00 47 08.4|-23 30 34
011.8787|-36.9404|Wo 9029 |00 45 08|-37 12.5|F7/8 V      |  7.85| 0.54|  40.7|  40.7|00 47 30.9|-36 56 26
011.8746|-36.9555|Wo 9029 |00 45 07|-37 13.4|m           | 15.50|     |  40.7|  40.7|00 47 29.9|-36 57 20
012.0939| +5.2800|Gl 33   |00 45 45|+05 01.4|K2 V        |  5.74| 0.88| 135.9| 135.9|00 48 22.5|+05 16 48
012.2724|+57.8169|Gl 34   |00 46 03|+57 33.1|G3 V        |  3.45| 0.57| 168.4| 168.4|00 49 05.4|+57 49 01
012.2724|+57.8169|Gl 34   |00 46 03|+57 33.1|K7 V        |  7.51| 1.39| 168.4| 168.4|00 49 05.4|+57 49 01
012.1923|+27.0186|NN 3057 |00 46 06|+26 45.0|M4          | 12.38| 1.52|      |  43.0|00 48 46.2|+27 01 07
