#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
NN 3026 |00 15 22|-18 11.4| 0.223| 71.0|      |m           | 13.20| 1.58|      |  39.0|11.16|     |LTT 146 L 722-46 LP 764-92                                           |00 17 54.9|-17 54 41
Wo 9008 |00 15 25|-13 44.0| 0.404| 89.4|  28.2|G2 V        |  6.50| 0.59|  32.0|  42.0| 4.62|     |LTT 145                                                              |00 17 59.0|-13 27 20
Gl 15   |00 15 31|+43 44.4| 2.912| 81.8|  12.0|M2 V        |  8.08| 1.56| 289.5| 289.5|10.39|V085 |GX And                                                               |00 18 22.8|+44 01 24
Gl 15   |00 15 31|+43 44.4| 2.912| 81.8|  11.3|M6 Ve       | 11.06| 1.79| 289.5| 289.5|13.37|     |GQ And                                                               |00 18 22.8|+44 01 24
Gl 16   |00 15 42|+09 55.5| 0.020|180.0|      |dM0         | 10.90| 1.50|  35.9|  35.9| 8.68|V356 |AC+09:2-34                                                           |00 18 16.6|+10 12 08
Gl 16.1 |00 16 07|-08 19.7| 0.443|108.6| -10.4|G5 IV-V     |  6.46| 0.68|  51.4|  51.4| 5.00|     |                                                                     |00 18 41.5|-08 03 10
NN 3027 |00 16 16|+27 32.3| 0.402|105.0|      |m           | 13.86|     |      |  52.0|12.44|     |LTT 10112 LP 292-66                                                  |00 18 53.9|+27 48 52
GJ 1008 |00 16 33|-10 14.3| 0.276|200.0|      |K7 V        |  9.94| 1.33|      |  46.0| 8.25|U  3 |                                                                     |00 19 05.5|-09 57 52
Gl 17   |00 17 29|-65 10.1| 2.072| 55.7|   9.0|F9 V        |  4.22| 0.58| 139.0| 139.0| 4.94|     |ZET Tuc                                                              |00 20 04.5|-64 52 29
GJ 2003 |00 17 36|-17 20.3| 0.180| 65.0|      |M1          | 11.69| 1.55|      |  41.0| 9.75|     |BPM 70147 GR7                                                        |00 20 08.6|-17 03 35
NN 3028 |00 17 48|+32 49.3| 1.362|129.2| -30.0|M6          | 16.05| 1.98|  79.9|  79.9|15.56|     |LP 292-67  RV G&L ApJ 305, 784                                       |00 20 29.6|+33 05 13
Gl 17.1 |00 18 52|-46 00.7| 0.791|174.2|   2.5|M1          | 10.40| 1.48|  49.7|  49.7| 8.88|     |                                                                     |00 21 20.1|-45 44 43
NN 3029 |00 19 15|-46 21.4| 0.483|216.8|      |M3:         | 12.29| 1.46|      |  59.0|11.10|     |L 290-28 LTT 183 Sm 163  R-I = +1.42 Weistrop                        |00 21 41.2|-46 05 05
NN 3030 |00 19 16|+48 56.0| 0.220| 98.0|      |m           | 12.84|     |      |  45.0|11.11|     |LP 149-56                                                            |00 21 57.8|+49 12 36
GJ 1009 |00 19 27|-31 41.0| 0.130|163.0|      |dM2         | 11.16| 1.48|      |  69.0|10.35|     |BPM 46239                                                            |00 21 57.2|-31 24 28
NN 3031 |00 19 37|+42 20.3| 0.321|213.0|      |DC9         | 16.50| 0.72|      |  42.0|14.62|W459 |                                                                     |00 22 15.6|+42 36 42
Gl 17.2 |00 19 52|-27 18.3| 0.476|149.3|   0.4|K3 V        |  8.30| 0.90|  47.6|  39.0| 6.26|     |LTT 190                                                              |00 22 23.5|-27 02 01
Gl 17.3 |00 20 18|-12 29.2| 0.396| 80.6|  -2.6|G2 V        |  6.38| 0.66|  48.6|  53.0| 5.00|     |BS 88                                                                |00 22 51.7|-12 12 31
GJ 1010 |00 20 41|+76 54.7| 0.800|273.0|      |k-m         | 11.30| 1.49|  63.7|  63.7|10.32|     |LP 12-361                                                            |00 23 30.9|+77 11 21
GJ 1010 |00 20 43|+76 54.8| 0.800|273.0|      |m           | 14.00|     |  63.7|  63.7|13.00|     |LP 12-362   sep 11" 64d (LHS)                                        |00 23 32.9|+77 11 27
GJ 2004 |00 20 46|-33 26.8| 0.147|332.5|      |K3/4 V      |  8.75| 1.07|      |  43.0| 6.92|     |LTT 198                                                              |00 23 15.3|-33 10 04
NN 3032 |00 20 50|-51 10.3| 0.555| 91.5|      |M4          | 11.88| 1.48|  15.1|  55.0|10.58|     |LTT 197 LFT 39                                                       |00 23 18.8|-50 53 41
GJ 1011 |00 20 52|+24 01.5| 0.259|298.0|      |k-m         | 14.27| 1.59|  61.1|  61.1|13.20|     |                                                                     |00 23 27.8|+24 18 13
Gl 18   |00 21 53|-27 18.3| 0.679| 82.4|   3.7|K3 V        |  7.92| 0.95|  81.2|  52.0| 6.50|     |                                                                     |00 24 25.8|-27 01 36
NN 3033 |00 21 55|+29 45.8| 0.605| 90.2|      |m           | 14.54| 1.67|  53.0|  53.0|13.16|     |                                                                     |00 24 35.0|+30 02 25
GJ 2005 |00 22 12|-27 26.0| 0.614|354.9|-220.0|M5.5        | 15.42|     | 132.8| 132.8|16.04|     |pi(trig) in PASP 98,658 (86)                                         |00 24 42.0|-27 08 52
NN 3034 |00 22 45|+22 37.0| 0.520|204.7|      |m           | 14.30|     |      |  53.0|12.90|     |LTT 10142 L 1298-103 LP 349-18                                       |00 25 20.9|+22 53 13
Gl 19   |00 23 09|-77 32.1| 2.250| 81.6|  22.9|G2 IV       |  2.80| 0.62| 155.4| 155.4| 3.76|     |BET Hyi                                                              |00 25 45.0|-77 15 13
Gl 20   |00 23 45|-43 57.4| 0.112| 70.2|  11.3|A7 Vn       |  3.94| 0.17|  71.2|  71.2| 3.20|     |KAP Phe                                                              |00 26 12.3|-43 40 46
Gl 21   |00 24 00|+69 52.1| 0.230|219.0|      |dM0         | 10.52| 1.49|  54.4|  54.4| 9.20|V357 |AC+69:173                                                            |00 26 52.7|+70 08 33
NN 3035 |00 24 22|+49 25.5| 0.477|123.6|      |m           | 14.25|     |  47.1|  47.1|12.62|     |                                                                     |00 27 06.6|+49 41 52
GJ 1012 |00 26 08|-06 55.8| 0.870|202.3|  51.0|M4          | 12.19| 1.48|  74.8|  74.8|11.56|     |                                                                     |00 28 39.7|-06 39 53
NN 3036 |00 26 09|+50 05.9| 0.440| 74.0|      |m           | 13.15|     |      |  76.0|12.55|     |                                                                     |00 28 54.6|+50 22 35
GJ 1013 |00 29 02|-06 07.9| 1.098|163.1|      |m           | 12.75| 1.64|  61.6|  61.6|11.70|     |                                                                     |00 31 35.9|-05 52 13
Gl 22   |00 29 20|+66 57.8| 1.748| 97.8|  -4.0|dM2.5e      | 10.38| 1.54| 100.6| 100.6|10.39|     |V547 Cas   V(AB) = 10.34 d(m) = 3.7 sep (AC) 0.4" d(K) = 1.94        |00 32 29.9|+67 14 09
Gl 22   |00 29 20|+66 57.8| 1.748| 97.8|      |dM3.5       | 12.40|     | 100.6| 100.6|12.40|     |sep(AC-B) 4"  d(K)(AC-B) = 1.35                                      |00 32 29.9|+67 14 09
NN 3037 |00 29 34|-03 10.7| 0.653| 76.7|      |g-k         | 17.34|     |  43.1|  43.1|15.51|     |LP 645-46                                                            |00 32 09.4|-02 54 01
NN 3038 |00 29 56|-63 21.9| 0.518|101.7|      |K7          |  9.61| 1.35|  34.3|  34.3| 7.29|     |CD-63:9 LTT 288 LFT 49                                               |00 32 15.6|-63 05 26
NN 3039 |00 30 00|+07 13.0| 0.186|111.0|      |m           | 12.70|     |      |  86.0|12.37|     |LP 525-39                                                            |00 32 35.5|+07 29 29
Wo 9015 |00 30 28|-63 18.4| 0.092|111.7|   5.0|A0 V        |  5.75| 0.04|  47.8|  47.8| 4.15|     |BS 136  V(AB) = 5.09 d(m) = 0.2                                      |00 32 44.2|-63 01 53
Wo 9015 |00 30 28|-63 18.4| 0.092|111.7|      |A           |  6.00|     |  47.8|  47.8| 4.40|     |sep 0.1" 143d                                                        |00 32 44.2|-63 01 53
NN 3040 |00 31 30|+70 55.5| 0.596|120.0|      |k-m         | 13.52| 1.65|  50.5|  50.5|12.04|     |LP 28-158                                                            |00 34 37.1|+71 11 46
Wo 9016 |00 31 43|+47 38.4| 0.410| 80.2| -10.5|F8          |  7.37| 0.54|  43.6|  20.0| 3.88|     |LTT 10192                                                            |00 34 29.4|+47 54 59
Gl 22.2 |00 32 05|-52 39.0| 0.233| 80.5|  34.8|F3 IV-V     |  5.57| 0.46|  49.0|  49.0| 4.00|     |                                                                     |00 34 27.4|-52 22 26
Gl 23   |00 32 40|-03 52.1| 0.411| 92.9|  11.2|F6 V        |  5.65| 0.57|  61.4|  61.4| 4.59|     |BS 142 ADS 490  V(AB) = 5.20 d(m) = 0.73, SBO                        |00 35 14.5|-03 35 36
Gl 23   |00 32 40|-03 52.1| 0.411| 92.9|   8.8|G1 V        |  6.40|     |  61.4|  61.4| 5.30|     |sep 0.3"                                                             |00 35 14.5|-03 35 36
GJ 1014 |00 33 16|+10 12.4| 1.186|110.5|      |            | 15.32| 1.89|  64.0|  64.0|14.35|     |                                                                     |00 35 55.4|+10 28 34
NN 3041 |00 33 18|-48 16.5| 0.111|150.2|   7.6|F6 V        |  5.51| 0.44|      |  40.0| 3.52|     |CP-48:   51                                                          |00 35 40.9|-48 00 04
NN 3042 |00 33 26|+45 14.5| 0.298|242.0|      |M2          | 11.71| 1.54|      |  58.0|10.53|     |                                                                     |00 36 08.8|+45 30 53
NN 3043 |00 33 49|+08 36.0| 0.042|190.3|      |G5          |  7.87|     |      |  46.0| 6.18|     |                                                                     |00 36 24.3|+08 52 28
Gl 24   |00 34 14|-49 24.3| 0.407|108.5|  -3.0|G3 V        |  6.79| 0.64|  37.6|  33.0| 4.38|     |                                                                     |00 36 37.8|-49 07 54
Gl 24   |00 33 40|-49 24.1| 0.410|109.4|   4.7|K0 V        |  8.37| 0.78|  77.4|  33.0| 5.96|     |                                                                     |00 36 04.0|-49 07 42
Gl 25   |00 34 47|-25 02.5| 1.394| 90.3|  18.6|G7 V        |  6.23| 0.72|  72.1|  72.1| 5.52|     |BS 159 ADS 520 LTT 328  V(AB) = 5.57 d(m) = 0.21, SB2                |00 37 21.0|-24 46 01
Gl 25   |00 34 47|-25 02.5| 1.394| 90.3|  25.0|G8 V        |  6.40|     |  72.1|  72.1| 5.70|     |sep 0.5"                                                             |00 37 21.0|-24 46 01
